name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status
RAST1	SEEG	V	0.0	256.0	Right-Amygdala	512.0	good
RAST2	SEEG	V	0.0	256.0	Right-Amygdala	512.0	good
RAST3	SEEG	V	0.0	256.0	Right-Amygdala	512.0	good
RAST4	SEEG	V	0.0	256.0	Right-Amygdala	512.0	good
RAST5	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RAST6	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RAST7	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RAST8	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RAST9	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RAST10	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RAST11	SEEG	V	0.0	256.0	ctx_rh_G_temporal_middle	512.0	good
RAST12	SEEG	V	0.0	256.0	ctx_rh_G_temporal_middle	512.0	good
RMST1	SEEG	V	0.0	256.0	Right-Hippocampus	512.0	good
RMST2	SEEG	V	0.0	256.0	Right-Hippocampus	512.0	good
RMST3	SEEG	V	0.0	256.0	Right-Hippocampus	512.0	good
RMST4	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RMST5	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RMST6	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RMST7	SEEG	V	0.0	256.0	ctx_rh_S_temporal_sup	512.0	good
RMST8	SEEG	V	0.0	256.0	ctx_rh_S_temporal_sup	512.0	good
RMST9	SEEG	V	0.0	256.0	ctx_rh_S_temporal_sup	512.0	good
RMST10	SEEG	V	0.0	256.0	ctx_rh_S_temporal_sup	512.0	good
RMST11	SEEG	V	0.0	256.0	ctx_rh_S_temporal_sup	512.0	good
RMST12	SEEG	V	0.0	256.0	ctx_rh_S_temporal_sup	512.0	good
RMST13	SEEG	V	0.0	256.0	ctx_rh_S_temporal_sup	512.0	good
RMST14	SEEG	V	0.0	256.0	ctx_rh_S_temporal_sup	512.0	good
RPST1	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RPST2	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RPST3	SEEG	V	0.0	256.0	ctx_rh_S_collat_transv_ant	512.0	good
RPST4	SEEG	V	0.0	256.0	ctx_rh_S_collat_transv_ant	512.0	good
RPST5	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RPST6	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RPST7	SEEG	V	0.0	256.0	ctx_rh_S_temporal_inf	512.0	good
RPST8	SEEG	V	0.0	256.0	ctx_rh_G_temporal_middle	512.0	good
RPST9	SEEG	V	0.0	256.0	ctx_rh_G_temporal_middle	512.0	good
RPST10	SEEG	V	0.0	256.0	ctx_rh_G_temporal_middle	512.0	good
RPST11	SEEG	V	0.0	256.0	ctx_rh_G_temporal_middle	512.0	good
RPST12	SEEG	V	0.0	256.0	ctx_rh_G_temporal_middle	512.0	good
RPPST1	SEEG	V	0.0	256.0	ctx_rh_G_oc-temp_med-Parahip	512.0	good
RPPST2	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RPPST3	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RPPST4	SEEG	V	0.0	256.0	Right-Hippocampus	512.0	good
RPPST5	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RPPST6	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RPPST7	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RPPST8	SEEG	V	0.0	256.0	ctx_rh_S_temporal_sup	512.0	good
RPPST9	SEEG	V	0.0	256.0	ctx_rh_S_temporal_sup	512.0	good
RPPST10	SEEG	V	0.0	256.0	ctx_rh_S_temporal_sup	512.0	good
RPPST11	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RPPST12	SEEG	V	0.0	256.0	ctx_rh_G_temporal_middle	512.0	good
RPPST13	SEEG	V	0.0	256.0	ctx_rh_G_temporal_middle	512.0	good
RPPST14	SEEG	V	0.0	256.0	ctx_rh_G_temporal_middle	512.0	good
RPPST15	SEEG	V	0.0	256.0	ctx_rh_G_temporal_middle	512.0	good
RPPST16	SEEG	V	0.0	256.0	ctx_rh_G_temporal_middle	512.0	good
RAIF1	SEEG	V	0.0	256.0	ctx_rh_G_insular_short	512.0	good
RAIF2	SEEG	V	0.0	256.0	ctx_rh_G_insular_short	512.0	good
RAIF3	SEEG	V	0.0	256.0	ctx_rh_G_front_inf-Orbital	512.0	good
RAIF4	SEEG	V	0.0	256.0	ctx_rh_G_front_inf-Orbital	512.0	good
RAIF5	SEEG	V	0.0	256.0	ctx_rh_G_front_inf-Orbital	512.0	good
RAIF6	SEEG	V	0.0	256.0	ctx_rh_G_front_inf-Triangul	512.0	good
RAIF7	SEEG	V	0.0	256.0	ctx_rh_G_front_inf-Triangul	512.0	good
RAIF8	SEEG	V	0.0	256.0	ctx_rh_G_front_inf-Triangul	512.0	good
RPI1	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RPI2	SEEG	V	0.0	256.0	ctx_rh_S_circular_insula_inf	512.0	good
RPI3	SEEG	V	0.0	256.0	ctx_rh_G_Ins_lg_and_S_cent_ins	512.0	good
RPI4	SEEG	V	0.0	256.0	ctx_rh_G_Ins_lg_and_S_cent_ins	512.0	good
RPI5	SEEG	V	0.0	256.0	ctx_rh_G_Ins_lg_and_S_cent_ins	512.0	good
RPI6	SEEG	V	0.0	256.0	ctx_rh_S_circular_insula_inf	512.0	good
RPI7	SEEG	V	0.0	256.0	ctx_rh_G_Ins_lg_and_S_cent_ins	512.0	good
RPI8	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RPI9	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RPI10	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RPI11	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RPI12	SEEG	V	0.0	256.0	ctx_rh_Lat_Fis-post	512.0	good
RPI13	SEEG	V	0.0	256.0	ctx_rh_Lat_Fis-post	512.0	good
RPI14	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RPI15	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RPI16	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
ROF1	SEEG	V	0.0	256.0	Unknown	512.0	good
ROF2	SEEG	V	0.0	256.0	Unknown	512.0	good
ROF3	SEEG	V	0.0	256.0	ctx_rh_S_orbital-H_Shaped	512.0	good
ROF4	SEEG	V	0.0	256.0	ctx_rh_S_orbital-H_Shaped	512.0	good
ROF5	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
ROF6	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
ROF7	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
ROF8	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
ROF9	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
ROF10	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
ROF11	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
ROF12	SEEG	V	0.0	256.0	ctx_rh_G_front_middle	512.0	good
ROF13	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
ROF14	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
ROF15	SEEG	V	0.0	256.0	ctx_rh_S_front_middle	512.0	good
ROF16	SEEG	V	0.0	256.0	ctx_rh_S_front_middle	512.0	good
RAC1	SEEG	V	0.0	256.0	ctx_rh_S_pericallosal	512.0	good
RAC2	SEEG	V	0.0	256.0	ctx_rh_S_pericallosal	512.0	good
RAC3	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RAC4	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RAC5	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RAC6	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RAC7	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RAC8	SEEG	V	0.0	256.0	ctx_rh_S_front_middle	512.0	good
RAC9	SEEG	V	0.0	256.0	ctx_rh_S_front_middle	512.0	good
RAC10	SEEG	V	0.0	256.0	ctx_rh_G_front_middle	512.0	good
RAC11	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RAC12	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
