name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status
RParGr1	ECOG	V	0.0	256.0	precentral	512.0	good
RParGr2	ECOG	V	0.0	256.0	postcentral	512.0	good
RParGr3	ECOG	V	0.0	256.0	superiortemporal	512.0	good
RParGr4	ECOG	V	0.0	256.0	supramarginal	512.0	good
RParGr5	ECOG	V	0.0	256.0	inferiorparietal	512.0	good
RParGr6	ECOG	V	0.0	256.0	inferiorparietal	512.0	good
RParGr7	ECOG	V	0.0	256.0	inferiorparietal	512.0	good
RParGr8	ECOG	V	0.0	256.0	inferiorparietal	512.0	good
RParGr9	ECOG	V	0.0	256.0	precentral	512.0	good
RParGr10	ECOG	V	0.0	256.0	postcentral	512.0	good
RParGr11	ECOG	V	0.0	256.0	postcentral	512.0	good
RParGr12	ECOG	V	0.0	256.0	supramarginal	512.0	good
RParGr13	ECOG	V	0.0	256.0	supramarginal	512.0	good
RParGr14	ECOG	V	0.0	256.0	inferiorparietal	512.0	good
RParGr15	ECOG	V	0.0	256.0	inferiorparietal	512.0	good
RParGr16	ECOG	V	0.0	256.0	inferiorparietal	512.0	good
RParGr17	ECOG	V	0.0	256.0	precentral	512.0	good
RParGr18	ECOG	V	0.0	256.0	precentral	512.0	good
RParGr19	ECOG	V	0.0	256.0	postcentral	512.0	good
RParGr20	ECOG	V	0.0	256.0	supramarginal	512.0	good
RParGr21	ECOG	V	0.0	256.0	supramarginal	512.0	good
RParGr22	ECOG	V	0.0	256.0	inferiorparietal	512.0	good
RParGr23	ECOG	V	0.0	256.0	inferiorparietal	512.0	good
RParGr24	ECOG	V	0.0	256.0	inferiorparietal	512.0	good
RParGr25	ECOG	V	0.0	256.0	caudalmiddlefrontal	512.0	good
RParGr26	ECOG	V	0.0	256.0	precentral	512.0	good
RParGr27	ECOG	V	0.0	256.0	precentral	512.0	good
RParGr28	ECOG	V	0.0	256.0	postcentral	512.0	good
RParGr29	ECOG	V	0.0	256.0	supramarginal	512.0	good
RParGr30	ECOG	V	0.0	256.0	inferiorparietal	512.0	good
RParGr31	ECOG	V	0.0	256.0	inferiorparietal	512.0	good
RParGr32	ECOG	V	0.0	256.0	inferiorparietal	512.0	good
RParGr33	ECOG	V	0.0	256.0	caudalmiddlefrontal	512.0	good
RParGr34	ECOG	V	0.0	256.0	caudalmiddlefrontal	512.0	good
RParGr35	ECOG	V	0.0	256.0	precentral	512.0	good
RParGr36	ECOG	V	0.0	256.0	postcentral	512.0	good
RParGr37	ECOG	V	0.0	256.0	postcentral	512.0	good
RParGr38	ECOG	V	0.0	256.0	inferiorparietal	512.0	good
RParGr39	ECOG	V	0.0	256.0	inferiorparietal	512.0	good
RParGr40	ECOG	V	0.0	256.0	inferiorparietal	512.0	good
RParGr41	ECOG	V	0.0	256.0	caudalmiddlefrontal	512.0	good
RParGr42	ECOG	V	0.0	256.0	caudalmiddlefrontal	512.0	good
RParGr43	ECOG	V	0.0	256.0	precentral	512.0	good
RParGr44	ECOG	V	0.0	256.0	precentral	512.0	good
RParGr45	ECOG	V	0.0	256.0	postcentral	512.0	good
RParGr46	ECOG	V	0.0	256.0	inferiorparietal	512.0	good
RParGr47	ECOG	V	0.0	256.0	superiorparietal	512.0	good
RParGr48	ECOG	V	0.0	256.0	cuneus	512.0	good
RParGr49	ECOG	V	0.0	256.0	superiorfrontal	512.0	good
RParGr50	ECOG	V	0.0	256.0	superiorfrontal	512.0	good
RParGr51	ECOG	V	0.0	256.0	superiorfrontal	512.0	good
RParGr52	ECOG	V	0.0	256.0	precentral	512.0	good
RParGr53	ECOG	V	0.0	256.0	postcentral	512.0	good
RParGr54	ECOG	V	0.0	256.0	superiorparietal	512.0	good
RParGr55	ECOG	V	0.0	256.0	superiorparietal	512.0	good
RParGr56	ECOG	V	0.0	256.0	superiorparietal	512.0	good
RAntTm1	SEEG	V	0.0	256.0	ctx-rh-unknown	512.0	good
RAntTm2	SEEG	V	0.0	256.0	ctx-rh-unknown	512.0	good
RAntTm3	SEEG	V	0.0	256.0	Right-Inf-Lat-Vent	512.0	good
RAntTm4	SEEG	V	0.0	256.0	Right-Inf-Lat-Vent	512.0	good
RAntTm5	SEEG	V	0.0	256.0	Right-Inf-Lat-Vent	512.0	good
RAntTm6	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RAntTm7	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RAntTm8	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RAntTm9	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RAntTm10	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RMidTm1	SEEG	V	0.0	256.0	Right-Cerebral-Cortex	512.0	good
RMidTm2	SEEG	V	0.0	256.0	Right-Cerebral-Cortex	512.0	good
RMidTm3	SEEG	V	0.0	256.0	Right-Cerebral-Cortex	512.0	good
RMidTm4	SEEG	V	0.0	256.0	Right-Hippocampus	512.0	good
RMidTm5	SEEG	V	0.0	256.0	Right-Hippocampus	512.0	good
RMidTm6	SEEG	V	0.0	256.0	Right-Hippocampus	512.0	good
RMidTm7	SEEG	V	0.0	256.0	Right-Inf-Lat-Vent	512.0	good
RMidTm8	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RMidTm9	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RMidTm10	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RMidTm11	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RMidTm12	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RPosTm1	SEEG	V	0.0	256.0	Right-Cerebellum-Cortex	512.0	good
RPosTm2	SEEG	V	0.0	256.0	ctx_rh_G_oc-temp_med-Parahip	512.0	good
RPosTm3	SEEG	V	0.0	256.0	ctx_rh_G_oc-temp_med-Parahip	512.0	good
RPosTm4	SEEG	V	0.0	256.0	ctx_rh_S_oc-temp_med_and_Lingual	512.0	good
RPosTm5	SEEG	V	0.0	256.0	ctx_rh_S_oc-temp_med_and_Lingual	512.0	good
RPosTm6	SEEG	V	0.0	256.0	ctx_rh_S_oc-temp_med_and_Lingual	512.0	good
RPosTm7	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RPosTm8	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RPosTm9	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RPosTm10	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RPosTm11	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RPosTm12	SEEG	V	0.0	256.0	ctx_rh_G_temporal_inf	512.0	good
RPosIn1	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RPosIn2	SEEG	V	0.0	256.0	ctx_rh_S_circular_insula_inf	512.0	good
RPosIn3	SEEG	V	0.0	256.0	ctx_rh_G_Ins_lg_and_S_cent_ins	512.0	good
RPosIn4	SEEG	V	0.0	256.0	ctx_rh_G_Ins_lg_and_S_cent_ins	512.0	good
RPosIn5	SEEG	V	0.0	256.0	ctx_rh_G_Ins_lg_and_S_cent_ins	512.0	good
RPosIn6	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RPosIn7	SEEG	V	0.0	256.0	ctx_rh_S_circular_insula_sup	512.0	good
RPosIn8	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RPosIn9	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RPosIn10	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RPosIn11	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RPosIn12	SEEG	V	0.0	256.0	ctx_rh_S_central	512.0	good
RPosIn13	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RPosIn14	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RPosIn15	SEEG	V	0.0	256.0	ctx_rh_S_precentral-sup-part	512.0	good
RPosIn16	SEEG	V	0.0	256.0	ctx_rh_S_precentral-sup-part	512.0	good
RAntIn1	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RAntIn2	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RAntIn3	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RAntIn4	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RAntIn5	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RAntIn6	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RAntIn7	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RAntIn8	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RAntIn9	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RAntIn10	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RAntIn11	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RAntIn12	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RAntIn13	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
RAntIn14	SEEG	V	0.0	256.0	ctx_rh_S_front_sup	512.0	good
RAntIn15	SEEG	V	0.0	256.0	ctx_rh_S_front_sup	512.0	good
RAntIn16	SEEG	V	0.0	256.0	Right-Cerebral-White-Matter	512.0	good
LAntTm1	SEEG	V	0.0	256.0	Left-Hippocampus	512.0	good
LAntTm2	SEEG	V	0.0	256.0	Left-Hippocampus	512.0	good
LAntTm3	SEEG	V	0.0	256.0	Left-Hippocampus	512.0	good
LAntTm4	SEEG	V	0.0	256.0	Left-Cerebral-White-Matter	512.0	good
LAntTm5	SEEG	V	0.0	256.0	Left-Cerebral-White-Matter	512.0	good
LAntTm6	SEEG	V	0.0	256.0	Left-Cerebral-White-Matter	512.0	good
LAntTm7	SEEG	V	0.0	256.0	Left-Cerebral-White-Matter	512.0	good
LAntTm8	SEEG	V	0.0	256.0	Left-Cerebral-White-Matter	512.0	good
LAntTm9	SEEG	V	0.0	256.0	Left-Cerebral-White-Matter	512.0	good
LAntTm10	SEEG	V	0.0	256.0	ctx_lh_S_temporal_inf	512.0	good
LAntTm11	SEEG	V	0.0	256.0	ctx_lh_G_temporal_middle	512.0	good
LAntTm12	SEEG	V	0.0	256.0	ctx_lh_G_temporal_middle	512.0	good
LPosTm1	SEEG	V	0.0	256.0	Left-Cerebellum-Cortex	512.0	good
LPosTm2	SEEG	V	0.0	256.0	Left-Cerebellum-Cortex	512.0	good
LPosTm3	SEEG	V	0.0	256.0	ctx_lh_G_oc-temp_lat-fusifor	512.0	good
LPosTm4	SEEG	V	0.0	256.0	Left-Cerebral-White-Matter	512.0	good
LPosTm5	SEEG	V	0.0	256.0	Left-Cerebral-White-Matter	512.0	good
LPosTm6	SEEG	V	0.0	256.0	ctx_lh_S_collat_transv_ant	512.0	good
LPosTm7	SEEG	V	0.0	256.0	ctx_lh_S_collat_transv_ant	512.0	good
LPosTm8	SEEG	V	0.0	256.0	Left-Cerebral-White-Matter	512.0	good
LPosTm9	SEEG	V	0.0	256.0	Left-Cerebral-White-Matter	512.0	good
LPosTm10	SEEG	V	0.0	256.0	Left-Cerebral-White-Matter	512.0	good
LPosTm11	SEEG	V	0.0	256.0	ctx_lh_S_temporal_inf	512.0	good
LPosTm12	SEEG	V	0.0	256.0	ctx_lh_S_temporal_inf	512.0	good
LPosTm13	SEEG	V	0.0	256.0	ctx_lh_G_temporal_middle	512.0	good
LPosTm14	SEEG	V	0.0	256.0	ctx_lh_G_temporal_middle	512.0	good
